product_id,sales_amount
101,150
102,200.5
103,300.75
104,120
105,450
106,320
107,215.5
108,400
109,500
110,250
111,180
112,220.5
113,310.75
114,140
115,460
116,330
117,225.5
118,410
119,510
120,260
121,190
122,230.5
123,320.75
124,150
125,470
126,340
127,235.5
128,420
129,520
130,270
131,200
132,240.5
133,330.75
134,160
135,480
136,350
137,245.5
138,430
139,530
140,280
141,210
142,250.5
143,340.75
144,170
145,490
146,360
147,255.5
148,440
149,540
150,290
